name,description,sale,price,colors,photo,link
Contempt Demi Men's Training Shoes,"Raise the bar with Contempt Demi, featuring a progressive mid-height silhouette with a clamshell collar for an eye-catching look. The lightweight midsole design and zoned rubber outsole add impact and control for your next training session.",$45.99,$65.00,"Puma Black-Asphalt,High Risk Red-Puma Black","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/193160/01/sv01/fnd/PNA/fmt/png/Contempt-Demi-Men's-Training-Shoes",https://us.puma.com/us/en/pd/contempt-demi-mens-training-shoes/193160?swatch=01&referrer-category=sale-men
Tazon Advance Bold Men's Sneakers,"An updated iteration of our Tazon running silhouette, the Advance adds sleek lines and perfect perforations for serious curb appeal. Featuring comfortable cushioning, stabilising support, and tons of traction, this performance-ready pair will keep your training on target.",$37.99,$70.00,"PUMA Black-PUMA Black,PUMA White-PUMA Black-For All Time Red","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/378245/01/sv01/fnd/PNA/fmt/png/Tazon-Advance-Bold-Men's-Sneakers",https://us.puma.com/us/en/pd/tazon-advance-bold-mens-sneakers/378245?swatch=01&referrer-category=sale-men
ESS Block Tape Men's Hoodie,"More than essential, our ESS line adds together bold and basic to create must-have items that emphasise urban identity. Made using recycled materials, modern color-blocking, andsophisticated brand elements, this sleek hoodie adds fierce to fashion.",$29.99,$60.00,PUMA Black-Puma White,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/676174/01/mod01/fnd/PNA/fmt/png/ESS-Block-Tape-Men's-Hoodie",https://us.puma.com/us/en/pd/ess-block-tape-mens-hoodie/676174?swatch=01&referrer-category=sale-men
Along The Line Men's Tee,"With its geometric pattern and bold PUMA branding, this 100% cotton tee is sure to turn heads. Add it to a street-ready fit for a pop of style, or pair it with matching sweatpants for something more laidback.",$11.99,$25.00,"Medium Gray Heather,PUMA Navy,Myrtle,Dusky Blue,Alpine Snow","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/679183/03/mod01/fnd/PNA/fmt/png/Along-The-Line-Men's-Tee",https://us.puma.com/us/en/pd/along-the-line-mens-tee/679183?swatch=03&referrer-category=sale-men
Cell Rapid Running Shoes,"Hit the road in style with the Cell Rapid, the newest member of our 10Cell family, constructed for comfort and stability. The Rapid features a dynamic silhouette, with material mixing and moulding details. Fashion meets function with a full-length rubber outsole providing increased traction and durability.",$45.99,$85.00,"For All Time Red-PUMA Black,PUMA Black-Cool Dark Gray-Pro Green,Inky Blue-PUMA Black-Glacial Gray","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/377871/05/sv01/fnd/PNA/fmt/png/Cell-Rapid-Running-Shoes",https://us.puma.com/us/en/pd/cell-rapid-running-shoes/377871?swatch=05&referrer-category=sale-men
Essentials+ Men's Shorts,"These Essentials Shorts will take you through your day with ease and style. A classic, cozy fit, adjustable ribbed waistband and subtle PUMA branding make these an everyday essential.",$19.99,$30.00,"Cotton Black-Puma White,Medium Gray Heather-Puma Black","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/846818/03/mod01/fnd/PNA/fmt/png/Essentials+-Men's-Shorts",https://us.puma.com/us/en/pd/essentials%2B-mens-shorts/846818?swatch=03&referrer-category=sale-men
Star Vital Men's Training Shoes,"Make strides in the sleek, streamlined fit of the Star Vital Training Shoes. With a breathable knit upper, extended lacing system and soft, cushioned midsole, this training shoe will give you a smooth, comfortable feel with every step.",$40.99,$65.00,PUMA Black-Concrete Gray,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/379912/01/sv01/fnd/PNA/fmt/png/Star-Vital-Men's-Training-Shoes",https://us.puma.com/us/en/pd/star-vital-mens-training-shoes/379912?swatch=01&referrer-category=sale-men
Viz Runner Repeat Men's Running Sneakers,Viz Runner's stable cushioning will take care of all your running needs.,$42.99,$65.00,"Puma White-Puma Black,Puma Black-Puma White,Glacial Gray-PUMA Navy","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/377333/01/sv01/fnd/PNA/fmt/png/Viz-Runner-Repeat-Men's-Running-Sneakers",https://us.puma.com/us/en/pd/viz-runner-repeat-mens-running-sneakers/377333?swatch=01&referrer-category=sale-men
sale-procent,code-sale
EXTRA 30% OFF SALE ITEMS STARTS NOW,
sale-procent,code-sale
EXTRA 30% OFF SALE ITEMS STARTS NOW,
